Judul,Penulis,ISBN,Tahun,Kategori
Disaster Recovery Planning,Stella Butler,978-7677787980,2021,IT Management
IT Service Management,Miles Richardson,978-7778798081,2020,IT Management
DevSecOps Implementation,Hazel Simmons,978-7879808182,2022,DevOps
Continuous Integration,Levi Perry,978-7980818283,2021,DevOps
Infrastructure as Code,Aurora Bryant,978-8081828384,2023,DevOps
Site Reliability Engineering,Caleb Alexander,978-8182838485,2022,DevOps
Cloud Native Applications,Ruby Russell,978-8283848586,2021,Cloud Computing
Multi-Cloud Strategies,Josiah Griffin,978-8384858687,2020,Cloud Computing
Big Data Processing,Willow Diaz,978-8485868788,2022,Big Data
Data Warehousing Solutions,Asher Hayes,978-8586878889,2021,Database
NoSQL Database Systems,Ivy Kelly,978-8687888990,2023,Database
Graph Database Applications,Lincoln Ross,978-8788899091,2022,Database
Time Series Data Analysis,Emilia Morales,978-8889909192,2021,Data Science
Predictive Analytics,Grayson Ortiz,978-8990919293,2020,Data Science
Business Intelligence Tools,Violet Jenkins,978-9091929394,2022,Business Intelligence
Data Mining Techniques,Ezra Sullivan,978-9192939495,2021,Data Science
Statistical Computing,Autumn Cook,978-9293949596,2023,Data Science
Deep Reinforcement Learning,Silas Rivera,978-9394959697,2022,Artificial Intelligence
Computer Vision Projects,Madelyn Morgan,978-9495969798,2021,Computer Vision
Speech Recognition Systems,Hudson Brooks,978-9596979899,2020,Artificial Intelligence
Genetic Algorithms,Eliana Bailey,978-9697989900,2022,Artificial Intelligence
Neural Networks Design,Sawyer Barnes,978-9798990001,2021,Artificial Intelligence
Fuzzy Logic Systems,Isla Flores,978-9899000102,2023,Artificial Intelligence
Expert Systems Development,Finn Washington,978-9900010203,2022,Artificial Intelligence
Knowledge Representation,Lillian Wood,978-9001020304,2021,Artificial Intelligence
Semantic Web Technologies,Kai Rogers,978-9102030405,2020,Web Development
Ontology Engineering,Delilah Reed,978-9203040506,2022,Knowledge Management
Information Retrieval,Theo Cook,978-9304050607,2021,Information Systems
Digital Libraries,Esther Peterson,978-9405060708,2023,Information Systems
Metadata Management,Felix Sanders,978-9506070809,2022,Information Systems
Document Classification,Naomi Price,978-9607080910,2021,Information Systems
Text Mining Applications,Oscar Bennett,978-9708091011,2020,Data Science
Sentiment Analysis,Cora Hughes,978-9809101112,2022,Data Science
Opinion Mining,Elliot Foster,978-9910111213,2021,Data Science
Recommendation Systems,Leilani Barnes,978-9101112131,2023,Artificial Intelligence
Personalization Algorithms,Malachi Gray,978-1011121314,2022,Artificial Intelligence
User Experience Design,Selena Powell,978-1112131415,2021,Design
Interaction Design Patterns,Jasper Long,978-1213141516,2020,Design
Mobile UX Best Practices,Alina Hughes,978-1314151617,2022,Design
Gamification Techniques,Beckett Foster,978-1415161718,2021,Game Development
Game AI Programming,Rosalie Jenkins,978-1516171819,2023,Game Development
3D Modeling and Animation,Rowan Peterson,978-1617181920,2022,Game Development
Game Engine Architecture,Daphne Barnes,978-1718192021,2021,Game Development
Virtual World Design,Milo Cooper,978-1819202122,2020,Game Development
Augmented Reality Games,Thea Morgan,978-1920212223,2022,AR/VR
Mixed Reality Applications,Rhys Butler,978-2021222324,2021,AR/VR
Holographic Computing,June Richardson,978-2122232425,2023,AR/VR
data structure,lutfi hakim,978-987576866,2025,ilmu teknologi
